log_price,city,zipcode,latitude,longitude,neighbourhood
4.248495242049359,NYC,11211.0,40.71532921907945,-73.93721117164844,Williamsburg
5.1647859739235145,NYC,10003.0,40.72592238478058,-73.9886224527645,East Village
5.298317366548036,NYC,10026,40.80344842652679,-73.95066758918385,Harlem
3.49650756146648,NYC,11209,40.61999103754631,-74.03180740756703,Bay Ridge
3.871201010907892,NYC,11216.0,40.67129199872933,-73.95201021081863,Crown Heights
5.298317366548036,NYC,10024,40.78433769685129,-73.97866832658843,Upper West Side
5.293304824724492,NYC,10001.0,40.747614728505184,-73.99761153610868,Chelsea
5.342334251964812,NYC,11217,40.67822608216645,-73.9700663959366,Prospect Heights
5.298317366548036,NYC,10002,40.72087812289976,-73.98533322258014,Lower East Side
4.23410650459726,NYC,11223,40.60787801827126,-73.98161120798079,Gravesend
4.174387269895637,NYC,10128,40.78287461491703,-73.95271992471855,Upper East Side
4.90527477843843,NYC,10024,40.78892054545986,-73.97435038424369,Upper West Side
4.663439094112067,NYC,11231.0,40.68660226749392,-73.99590115466185,Cobble Hill
4.8283137373023015,NYC,,40.7972005366015,-73.97231323985548,Upper West Side
4.0943445622221,NYC,10031,40.82365565390899,-73.94610279882542,Hamilton Heights
4.31748811353631,NYC,11220,40.64440673541591,-74.01030800647113,Sunset Park
5.5174528964647065,NYC,10013,40.72171105387309,-74.00270695247175,Soho
4.382026634673881,NYC,11216,40.69112332406173,-73.95203308034584,Bedford-Stuyvesant
4.127134385045092,NYC,11365,40.73830442773439,-73.80867014989428,Utopia
4.691347882229144,NYC,10012,40.72231520111944,-73.9943291736502,Nolita
4.189654742026425,NYC,11385,40.69900978074549,-73.90168300925917,Ridgewood
5.1298987149230735,NYC,10005,40.705356137182775,-74.01126417451695,Financial District
4.787491742782046,NYC,11237,40.70590785219056,-73.91984190640801,Bushwick
4.31748811353631,NYC,11210,40.62567478184118,-73.93783880834928,Flatlands
5.298317366548036,NYC,10024,40.78778075177217,-73.97497660694269,Upper West Side
5.5174528964647065,NYC,10011.0,40.74573163558074,-74.00471229343975,Chelsea
4.941642422609304,NYC,10027,40.80637317343339,-73.95432922213264,Harlem
4.007333185232471,NYC,11226,40.59211370913043,-73.94126982505553,Sheepshead Bay
4.356708826689592,NYC,11211,40.7114540033464,-73.95302310327239,Williamsburg
5.4380793089231965,NYC,10011.0,40.74326557859761,-73.99807186928592,Chelsea
4.477336814478207,NYC,11237.0,40.7051605431266,-73.91946146107728,Bushwick
4.127134385045092,NYC,10027,40.80679216360989,-73.94407676425456,Harlem
5.1929568508902095,NYC,10023,40.77592673315517,-73.989603160762,Upper West Side
5.010635294096256,NYC,10475,40.88134761286229,-73.83544791729028,Eastchester
5.293304824724492,NYC,10014,40.728614964171314,-74.00490022168658,Hudson Square
