log_price,room_type,accommodates,neighbourhood,zipcode,bedrooms,bathrooms,review_scores_rating,has_pool,has_fireplace,has_wifi,has_kitchen,has_dishwasher
5.010635294096256,Entire home/apt,3,Brooklyn Heights,11201,1.0,1.0,100.0,False,False,False,True,False
5.1298987149230735,Entire home/apt,7,Hell's Kitchen,10019,3.0,1.0,93.0,False,False,False,True,False
4.976733742420574,Entire home/apt,5,Harlem,10027,1.0,1.0,92.0,False,False,False,True,False
4.605170185988092,Private room,2,Alphabet City,10009.0,1.0,1.0,93.0,False,False,False,True,False
4.882801922586372,Entire home/apt,2,Lower East Side,10002,1.0,1.0,86.0,False,False,False,True,False
4.59511985013459,Entire home/apt,8,Flatbush,11226.0,3.0,1.0,72.0,False,False,False,True,False
3.688879454113936,Private room,2,East Flatbush,11212.0,1.0,1.5,89.0,False,False,False,True,False
5.003946305945459,Entire home/apt,6,Jamaica,11411.0,3.0,1.0,100.0,False,False,False,True,True
5.003946305945459,Entire home/apt,4,Forest Hills,11374,2.0,1.0,100.0,False,False,False,True,False
4.653960350157523,Private room,3,Murray Hill,10016,1.0,1.0,88.0,False,False,False,True,False
4.31748811353631,Private room,2,Lefferts Garden,11225,1.0,1.0,100.0,False,False,False,True,False
4.382026634673881,Private room,2,Brownsville,11212,1.0,1.0,96.0,False,False,False,True,False
3.912023005428147,Private room,1,Williamsburg,11211.0,1.0,1.0,84.0,False,True,False,True,False
4.74493212836325,Entire home/apt,2,East Village,10003.0,1.0,,100.0,False,False,False,True,False
5.521460917862246,Entire home/apt,2,Upper East Side,10021,1.0,1.0,,False,False,False,True,False
4.007333185232471,Private room,1,East Village,10003.0,1.0,1.0,,False,False,False,True,False
3.555348061489413,Private room,2,Bushwick,11237,1.0,1.0,,False,False,False,True,False
4.007333185232471,Private room,2,Bedford-Stuyvesant,11233,1.0,1.0,88.0,False,False,False,True,False
4.7535901911063645,Entire home/apt,2,Chelsea,10001.0,1.0,1.0,,False,False,False,True,False
4.7791234931115305,Private room,2,Williamsburg,11249.0,1.0,1.0,100.0,False,False,False,True,False
4.74493212836325,Entire home/apt,5,Harlem,10037,0.0,1.0,100.0,False,False,False,True,False
4.68213122712422,Entire home/apt,2,Greenwich Village,10011,1.0,1.0,94.0,False,False,False,True,False
4.948759890378168,Entire home/apt,2,Chelsea,10011.0,1.0,1.0,80.0,False,False,False,True,False
3.688879454113936,Private room,2,Washington Heights,10032,3.0,1.0,100.0,False,False,False,True,False
